,movie,year,movie_desc,director,cast,votes,ratings,genre,movie_time,desc_lenth,revenue_by_M
77,Donnie Darko,2001,After narrowly escaping a bizarre accident a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.,Richard Kelly,"Jake Gyllenhaal,Jena Malone,Mary McDonnell,Holmes Osborne",831730,8.0,"Drama, Mystery, Sci-Fi",113,166,1.48
78,Into the Wild,2007,After graduating from Emory University top student and athlete Christopher McCandless abandons his possessions gives his entire $24000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way Christopher encounters a series of characters that shape his life.,Sean Penn,"Emile Hirsch,Vince Vaughn,Catherine Keener,Marcia Gay Harden",644479,8.1,"Adventure, Biography, Drama",148,294,18.35
79,The Sixth Sense,1999,Malcolm Crowe a child psychologist starts treating a young boy Cole who encounters dead people and convinces him to help them. In turn Cole helps Malcolm reconcile with his estranged wife.,M. Night Shyamalan,"Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams",1026813,8.2,"Drama, Mystery, Thriller",107,188,293.51
80,District 9,2009,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,Neill Blomkamp,"Sharlto Copley,David James,Jason Cope,Nathalie Boltt",704007,7.9,"Action, Sci-Fi, Thriller",112,171,115.65
81,Gone with the Wind,1939,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,Victor Fleming,"George Cukor,Sam Wood,Clark Gable,Vivien Leigh,Thomas Mitchell,Barbara O'Neil",327248,8.2,"Drama, Romance, War",238,223,198.68
82,Kill Bill: Vol. 1,2003,After awakening from a four-year coma a former assassin wreaks vengeance on the team of assassins who betrayed her.,Quentin Tarantino,"Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen",1161819,8.2,"Action, Crime, Thriller",111,115,70.1
83,Toy Story,1995,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,John Lasseter,"Tom Hanks,Tim Allen,Don Rickles,Jim Varney",1040282,8.3,"Animation, Adventure, Comedy",81,129,191.8
84,Scarface,1983,In 1980 Miami a determined Cuban immigrant takes over a drug cartel and succumbs to greed.,Brian De Palma,"Al Pacino,Michelle Pfeiffer,Steven Bauer,Mary Elizabeth Mastrantonio",887701,8.3,"Crime, Drama",170,90,45.6
85,2 Fast 2 Furious,2003,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,John Singleton,"Paul Walker,Tyrese Gibson,Cole Hauser,Eva Mendes",290242,5.9,"Action, Crime, Thriller",107,176,127.15
86,The Departed,2006,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,"Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg",1384002,8.5,"Crime, Drama, Thriller",151,123,132.38
